2026-01-15T02:30:37.308+0000	connected to: mongodb://localhost/
2026-01-15T02:50:10.318+0000	cds502_wikirank.articles	5.69GB
2026-01-15T02:50:13.308+0000	cds502_wikirank.articles	5.71GB
2026-01-15T02:50:16.308+0000	cds502_wikirank.articles	5.72GB
2026-01-15T02:50:19.309+0000	cds502_wikirank.articles	5.74GB
2026-01-15T02:50:22.308+0000	cds502_wikirank.articles	5.75GB
2026-01-15T02:50:25.308+0000	cds502_wikirank.articles	5.77GB
2026-01-15T02:50:28.310+0000	cds502_wikirank.articles	5.77GB
2026-01-15T02:50:31.308+0000	cds502_wikirank.articles	5.79GB
2026-01-15T02:50:34.308+0000	cds502_wikirank.articles	5.80GB
2026-01-15T02:50:37.308+0000	cds502_wikirank.articles	5.82GB
2026-01-15T02:50:40.308+0000	cds502_wikirank.articles	5.84GB
2026-01-15T02:50:43.309+0000	cds502_wikirank.articles	5.86GB
2026-01-15T02:50:46.308+0000	cds502_wikirank.articles	5.88GB
2026-01-15T02:50:49.308+0000	cds502_wikirank.articles	5.89GB
2026-01-15T02:50:52.312+0000	cds502_wikirank.articles	5.91GB
2026-01-15T02:50:55.308+0000	cds502_wikirank.articles	5.92GB
2026-01-15T02:50:58.317+0000	cds502_wikirank.articles	5.94GB
2026-01-15T02:51:01.308+0000	cds502_wikirank.articles	5.96GB
2026-01-15T02:51:04.308+0000	cds502_wikirank.articles	5.97GB
2026-01-15T02:51:07.309+0000	cds502_wikirank.articles	5.99GB
2026-01-15T02:51:10.308+0000	cds502_wikirank.articles	6.01GB
2026-01-15T02:51:13.308+0000	cds502_wikirank.articles	6.02GB
2026-01-15T02:51:16.310+0000	cds502_wikirank.articles	6.04GB
2026-01-15T02:51:19.308+0000	cds502_wikirank.articles	6.06GB
2026-01-15T02:51:22.308+0000	cds502_wikirank.articles	6.07GB
2026-01-15T02:51:25.308+0000	cds502_wikirank.articles	6.09GB
2026-01-15T02:51:28.308+0000	cds502_wikirank.articles	6.11GB
2026-01-15T02:51:31.308+0000	cds502_wikirank.articles	6.12GB
2026-01-15T02:51:34.320+0000	cds502_wikirank.articles	6.14GB
2026-01-15T02:51:37.311+0000	cds502_wikirank.articles	6.15GB
2026-01-15T02:51:40.309+0000	cds502_wikirank.articles	6.17GB
2026-01-15T02:51:43.308+0000	cds502_wikirank.articles	6.19GB
2026-01-15T02:51:46.308+0000	cds502_wikirank.articles	6.20GB
2026-01-15T02:51:49.309+0000	cds502_wikirank.articles	6.22GB
2026-01-15T02:51:52.310+0000	cds502_wikirank.articles	6.24GB
2026-01-15T02:51:55.308+0000	cds502_wikirank.articles	6.25GB
2026-01-15T02:51:58.309+0000	cds502_wikirank.articles	6.27GB
2026-01-15T02:52:01.308+0000	cds502_wikirank.articles	6.28GB
2026-01-15T02:52:04.310+0000	cds502_wikirank.articles	6.30GB
2026-01-15T02:52:07.308+0000	cds502_wikirank.articles	6.32GB
2026-01-15T02:52:10.309+0000	cds502_wikirank.articles	6.33GB
2026-01-15T02:52:13.308+0000	cds502_wikirank.articles	6.35GB
2026-01-15T02:52:16.309+0000	cds502_wikirank.articles	6.36GB
2026-01-15T02:52:19.308+0000	cds502_wikirank.articles	6.38GB
2026-01-15T02:52:22.310+0000	cds502_wikirank.articles	6.40GB
2026-01-15T02:52:25.308+0000	cds502_wikirank.articles	6.41GB
2026-01-15T02:52:28.308+0000	cds502_wikirank.articles	6.43GB
2026-01-15T02:52:31.308+0000	cds502_wikirank.articles	6.44GB
2026-01-15T02:52:34.308+0000	cds502_wikirank.articles	6.46GB
2026-01-15T02:52:37.310+0000	cds502_wikirank.articles	6.47GB
2026-01-15T02:52:40.309+0000	cds502_wikirank.articles	6.49GB
2026-01-15T02:52:43.311+0000	cds502_wikirank.articles	6.50GB
2026-01-15T02:52:46.309+0000	cds502_wikirank.articles	6.52GB
2026-01-15T02:52:49.311+0000	cds502_wikirank.articles	6.53GB
2026-01-15T02:52:52.309+0000	cds502_wikirank.articles	6.54GB
2026-01-15T02:52:55.308+0000	cds502_wikirank.articles	6.56GB
2026-01-15T02:52:58.312+0000	cds502_wikirank.articles	6.57GB
2026-01-15T02:53:01.308+0000	cds502_wikirank.articles	6.59GB
2026-01-15T02:53:04.309+0000	cds502_wikirank.articles	6.61GB
2026-01-15T02:53:07.310+0000	cds502_wikirank.articles	6.62GB
2026-01-15T02:53:10.308+0000	cds502_wikirank.articles	6.64GB
2026-01-15T02:53:13.308+0000	cds502_wikirank.articles	6.65GB
2026-01-15T02:53:14.561+0000	cds502_wikirank.articles	6.66GB
2026-01-15T02:53:14.561+0000	47019854 document(s) imported successfully. 0 document(s) failed to import.
mongoimport_seconds=1357.43
